iter	Passed	Remaining
678	20275	9585
679	20297	9551
680	20308	9513
681	20339	9483
682	20371	9455
683	20403	9426
684	20436	9397
685	20466	9367
686	20498	9338
687	20527	9308
688	20547	9274
689	20579	9245
690	20605	9214
691	20638	9185
692	20669	9156
693	20700	9127
694	20727	9096
695	20757	9066
696	20789	9037
697	20819	9007
698	20835	8971
699	20864	8941
700	20892	8911
701	20925	8882
702	20958	8854
703	20992	8826
704	21025	8797
705	21056	8768
706	21089	8739
707	21120	8710
708	21137	8675
709	21166	8645
710	21178	8608
711	21208	8578
712	21236	8548
713	21269	8519
714	21289	8486
715	21318	8455
716	21352	8427
717	21383	8398
718	21414	8369
719	21443	8339
720	21474	8309
721	21503	8279
722	21531	8249
723	21542	8212
724	21570	8181
725	21600	8152
726	21629	8122
727	21658	8092
728	21693	8064
729	21713	8031
730	21747	8002
731	21781	7974
732	21815	7946
733	21849	7918
734	21880	7888
735	21896	7854
736	21931	7826
737	21961	7796
738	21991	7766
739	22024	7738
740	22054	7708
741	22070	7673
742	22100	7644
743	22129	7614
744	22158	7584
745	22187	7554
746	22220	7525
747	22253	7497
748	22287	7468
749	22316	7438
750	22344	7408
751	22359	7373
752	22388	7344
753	22416	7313
754	22447	7284
755	22477	7254
756	22507	7225
757	22536	7195
758	22565	7164
759	22588	7133
760	22618	7103
761	22646	7073
762	22682	7045
763	22702	7012
764	22733	6983
765	22762	6953
766	22791	6923
767	22821	6893
768	22856	6865
769	22894	6838
770	22927	6809
771	22959	6780
772	22996	6753
773	23012	6719
774	23046	6690
775	23073	6660
776	23104	6631
777	23130	6600
778	23162	6571
779	23199	6543
780	23218	6510
781	23253	6482
782	23286	6453
783	23321	6425
784	23352	6396
785	23385	6367
786	23409	6335
787	23440	6306
788	23473	6277
789	23504	6248
790	23534	6218
791	23564	6188
792	23594	6159
793	23623	6128
794	23659	6100
795	23693	6072
796	23727	6043
797	23762	6015
798	23796	5986
799	23828	5957
800	23846	5924
801	23881	5895
802	23909	5865
803	23940	5836
804	23969	5806
805	23985	5773
806	24017	5743
807	24044	5713
808	24073	5683
809	24107	5654
810	24139	5625
811	24169	5595
812	24196	5565
813	24226	5535
814	24261	5507
815	24291	5477
816	24324	5448
817	24356	5419
818	24390	5390
819	24425	5361
820	24454	5331
821	24488	5302
822	24521	5273
823	24556	5245
824	24586	5215
825	24617	5185
826	24649	5156
827	24680	5126
828	24696	5094
829	24730	5065
830	24755	5034
831	24789	5005
832	24822	4976
833	24856	4947
834	24888	4918
835	24924	4889
836	24960	4860
837	24994	4831
838	25028	4802
839	25062	4773
840	25086	4742
841	25124	4714
842	25158	4685
843	25193	4656
844	25227	4627
845	25262	4598
846	25295	4569
847	25330	4540
848	25363	4511
849	25396	4481
850	25414	4449
851	25449	4420
852	25486	4392
853	25520	4363
854	25553	4333
855	25585	4304
856	25608	4273
857	25638	4243
858	25666	4213
859	25688	4181
860	25719	4152
861	25755	4123
862	25776	4091
863	25809	4062
864	25838	4032
865	25870	4002
866	25900	3973
867	25936	3944
868	25968	3914
869	26002	3885
870	26037	3856
871	26068	3826
872	26090	3795
873	26124	3766
874	26153	3736
875	26189	3707
876	26218	3677
877	26254	3648
878	26285	3618
879	26317	3588
880	26350	3559
881	26380	3529
882	26410	3499
883	26441	3469
884	26486	3441
885	26519	3412
886	26553	3382
887	26585	3353
888	26623	3324
889	26654	3294
890	26683	3264
891	26720	3235
892	26752	3205
893	26787	3176
894	26822	3146
895	26855	3117
896	26888	3087
897	26921	3057
898	26952	3028
899	26987	2998
900	27021	2969
901	27056	2939
902	27090	2910
903	27123	2880
904	27158	2850
